ID,description,amount,vendor,postingDate,glAccount,matchedRule_ID,confidence,status,createdAt
22222222-2222-2222-2222-000000000001,Office paper and printer ink from Staples,245.50,Staples Singapore,2026-03-15,6401000,11111111-1111-1111-1111-000000000001,0.92,matched,2026-03-15T09:00:00Z
22222222-2222-2222-2222-000000000002,Grab taxi to client meeting Marina Bay,32.80,Grab Holdings,2026-03-16,6201000,11111111-1111-1111-1111-000000000002,0.88,matched,2026-03-16T14:30:00Z
22222222-2222-2222-2222-000000000003,Singapore Airlines flight to Sydney,2450.00,Singapore Airlines,2026-03-18,6202000,11111111-1111-1111-1111-000000000003,0.95,matched,2026-03-18T10:15:00Z
22222222-2222-2222-2222-000000000004,Client dinner at Marina Bay Sands,680.00,Marina Bay Sands,2026-03-20,6301000,11111111-1111-1111-1111-000000000004,0.90,matched,2026-03-20T20:00:00Z
22222222-2222-2222-2222-000000000005,Office electricity bill March 2026,1245.00,SP Group,2026-03-22,6501000,11111111-1111-1111-1111-000000000005,0.93,matched,2026-03-22T11:00:00Z
22222222-2222-2222-2222-000000000006,Singtel mobile plan for team Q1,890.50,Singtel,2026-03-25,6502100,11111111-1111-1111-1111-000000000006,0.91,matched,2026-03-25T15:20:00Z
22222222-2222-2222-2222-000000000007,Legal consulting on contract review,4500.00,Allen and Gledhill,2026-03-26,6601000,11111111-1111-1111-1111-000000000007,0.89,matched,2026-03-26T09:45:00Z
22222222-2222-2222-2222-000000000008,SAP training course for developers,3200.00,SAP Training,2026-03-28,6701000,11111111-1111-1111-1111-000000000008,0.94,matched,2026-03-28T08:00:00Z
22222222-2222-2222-2222-000000000009,Google Ads campaign Q1 2026,5500.00,Google Singapore,2026-03-30,6801000,11111111-1111-1111-1111-000000000009,0.87,matched,2026-03-30T13:30:00Z
22222222-2222-2222-2222-000000000010,Dell monitors for new workstations,1850.00,Dell Singapore,2026-04-01,6901000,11111111-1111-1111-1111-000000000010,0.92,matched,2026-04-01T10:00:00Z
22222222-2222-2222-2222-000000000011,Zoom annual subscription renewal,1440.00,Zoom Video Communications,2026-04-02,,,0.31,unmatched,2026-04-02T11:00:00Z
22222222-2222-2222-2222-000000000012,AWS cloud hosting Q1 2026,3850.00,Amazon Web Services,2026-04-02,,,0.28,unmatched,2026-04-02T11:15:00Z
22222222-2222-2222-2222-000000000013,Carbon offset credits for ESG reporting,2200.00,South Pole Carbon,2026-04-03,,,0.22,unmatched,2026-04-03T09:30:00Z
22222222-2222-2222-2222-000000000014,ChatGPT Team license 20 seats,600.00,OpenAI,2026-04-03,,,0.35,unmatched,2026-04-03T14:00:00Z
22222222-2222-2222-2222-000000000015,Figma design tool seats annual,1800.00,Figma Inc,2026-04-04,,,0.30,unmatched,2026-04-04T16:00:00Z
